,L1,L2,C1sa,L1sa,C1sb,L1sb,C1pa,L1pa,C2sa,L2sa,C2sb,L2sb,C2pa,L2pa,Zr_im
0,1.6749e-05,1.6749e-05,0.0,0.0,0.0,0.0,2.18043074053143e-7,0.0,0.0,0.0,0.0,0.0,2.09321351091018e-7,0.0,-0.357806040413833
1,1.6749e-05,1.6749e-05,0.0,0.0,0.0,0.0,2.20475063875855e-7,0.0,0.0,0.0,1e-06,0.0,2.64736314025742e-7,0.0,-0.452530292689137
2,1.6749e-05,1.6749e-05,0.0,0.0,0.0,0.0,2.17532405832791e-7,0.0,0.0,0.0,0.0,1e-06,1.97527934499040e-7,0.0,-0.337646817899109
3,1.6749e-05,1.6749e-05,0.0,0.0,0.0,0.0,2.08902124303401e-7,0.0,0.0,0.0,1e-08,0.0,0.0,0.000333843330942345,0.0179512148826668
4,1.6749e-05,1.6749e-05,0.0,0.0,0.0,0.0,2.09321351091018e-7,0.0,1e-08,0.0,9.54404803954313e-9,0.0,0.0,0.000350592330942345,0
5,1.6749e-05,1.6749e-05,0.0,0.0,0.0,0.0,2.09321351091018e-7,0.0,0.0,1.67490000000000e-5,0.0,0.0,2.09321351091018e-7,0.0,0
6,1.6749e-05,1.6749e-05,0.0,0.0,0.0,0.0,2.09321351091018e-7,0.0,0.0,1e-06,2.22612439483361e-7,0.0,3.50592330942345e-6,0.0,0
7,1.6749e-05,1.6749e-05,0.0,0.0,0.0,0.0,2.09321351091018e-7,0.0,0.0,1.9999999999999998e-05,0.0,3.25100000000000e-6,1.75296165471173e-7,0.0,0
8,1.6749e-05,1.6749e-05,0.0,0.0,1e-06,0.0,2.78842819620939e-7,0.0,0.0,0.0,0.0,0.0,2.09321351091018e-7,0.0,-0.357806040413833
9,1.6749e-05,1.6749e-05,0.0,0.0,1e-06,0.0,2.82832599264975e-7,0.0,0.0,0.0,1e-06,0.0,2.64736314025742e-7,0.0,-0.452530292689137
10,1.6749e-05,1.6749e-05,0.0,0.0,1e-06,0.0,2.78008197980791e-7,0.0,0.0,0.0,0.0,1e-06,1.97527934499040e-7,0.0,-0.337646817899109
11,1.6749e-05,1.6749e-05,0.0,0.0,1e-06,0.0,2.64066091846666e-7,0.0,0.0,0.0,1e-08,0.0,0.0,0.000333843330942345,0.0179512148826668
12,1.6749e-05,1.6749e-05,0.0,0.0,1e-06,0.0,2.64736314025742e-7,0.0,1e-08,0.0,9.54404803954313e-9,0.0,0.0,0.000350592330942345,0
13,1.6749e-05,1.6749e-05,0.0,0.0,1e-06,0.0,2.64736314025742e-7,0.0,0.0,1.67490000000000e-5,0.0,0.0,2.09321351091018e-7,0.0,0
14,1.6749e-05,1.6749e-05,0.0,0.0,1e-06,0.0,2.64736314025742e-7,0.0,0.0,1e-06,2.22612439483361e-7,0.0,3.50592330942345e-6,0.0,0
15,1.6749e-05,1.6749e-05,0.0,0.0,1e-06,0.0,2.64736314025742e-7,0.0,0.0,1.9999999999999998e-05,0.0,3.25100000000000e-6,1.75296165471173e-7,0.0,0
16,1.6749e-05,1.6749e-05,0.0,0.0,0.0,1e-06,2.05276368544336e-7,0.0,0.0,0.0,0.0,0.0,2.09321351091018e-7,0.0,-0.357806040413833
17,1.6749e-05,1.6749e-05,0.0,0.0,0.0,1e-06,2.07430496730442e-7,0.0,0.0,0.0,1e-06,0.0,2.64736314025742e-7,0.0,-0.452530292689137
18,1.6749e-05,1.6749e-05,0.0,0.0,0.0,1e-06,2.04823688123724e-7,0.0,0.0,0.0,0.0,1e-06,1.97527934499040e-7,0.0,-0.337646817899109
19,1.6749e-05,1.6749e-05,0.0,0.0,0.0,1e-06,1.97154574299499e-7,0.0,0.0,0.0,1e-08,0.0,0.0,0.000333843330942345,0.0179512148826668
20,1.6749e-05,1.6749e-05,0.0,0.0,0.0,1e-06,1.97527934499040e-7,0.0,1e-08,0.0,9.54404803954313e-9,0.0,0.0,0.000350592330942345,0
21,1.6749e-05,1.6749e-05,0.0,0.0,0.0,1e-06,1.97527934499040e-7,0.0,0.0,1.67490000000000e-5,0.0,0.0,2.09321351091018e-7,0.0,0
22,1.6749e-05,1.6749e-05,0.0,0.0,0.0,1e-06,1.97527934499040e-7,0.0,0.0,1e-06,2.22612439483361e-7,0.0,3.50592330942345e-6,0.0,0
23,1.6749e-05,1.6749e-05,0.0,0.0,0.0,1e-06,1.97527934499040e-7,0.0,0.0,1.9999999999999998e-05,0.0,3.25100000000000e-6,1.75296165471173e-7,0.0,0
24,1.6749e-05,1.6749e-05,0.0,0.0,1e-08,0.0,0.0,0.000334513290942345,0.0,0.0,0.0,0.0,2.09321351091018e-7,0.0,-0.357806040413833
25,1.6749e-05,1.6749e-05,0.0,0.0,1e-08,0.0,0.0,0.000334690653683290,0.0,0.0,1e-06,0.0,2.64736314025742e-7,0.0,-0.452530292689137
26,1.6749e-05,1.6749e-05,0.0,0.0,1e-08,0.0,0.0,0.000334475544590438,0.0,0.0,0.0,1e-06,1.97527934499040e-7,0.0,-0.337646817899109
27,1.6749e-05,1.6749e-05,0.0,0.0,1e-08,0.0,0.0,0.000333809718888427,0.0,0.0,1e-08,0.0,0.0,0.000333843330942345,0.0179512148826668
28,1.6749e-05,1.6749e-05,0.0,0.0,1e-08,0.0,0.0,0.000333843330942345,1e-08,0.0,9.54404803954313e-9,0.0,0.0,0.000350592330942345,0
29,1.6749e-05,1.6749e-05,0.0,0.0,1e-08,0.0,0.0,0.000333843330942345,0.0,1.67490000000000e-5,0.0,0.0,2.09321351091018e-7,0.0,0
30,1.6749e-05,1.6749e-05,0.0,0.0,1e-08,0.0,0.0,0.000333843330942345,0.0,1e-06,2.22612439483361e-7,0.0,3.50592330942345e-6,0.0,0
31,1.6749e-05,1.6749e-05,0.0,0.0,1e-08,0.0,0.0,0.000333843330942345,0.0,1.9999999999999998e-05,0.0,3.25100000000000e-6,1.75296165471173e-7,0.0,0
32,1.6749e-05,1.6749e-05,1e-08,0.0,1.00000000000000e-8,0.0,0.0,0.000350592330942345,0.0,0.0,0.0,0.0,2.09321351091018e-7,0.0,-0.357806040413833
33,1.6749e-05,1.6749e-05,1e-08,0.0,1.00000000000000e-8,0.0,0.0,0.000350592330942345,0.0,0.0,1e-06,0.0,2.64736314025742e-7,0.0,-0.452530292689137
34,1.6749e-05,1.6749e-05,1e-08,0.0,1.00000000000000e-8,0.0,0.0,0.000350592330942345,0.0,0.0,0.0,1e-06,1.97527934499040e-7,0.0,-0.337646817899109
35,1.6749e-05,1.6749e-05,1e-08,0.0,1.00000000000000e-8,0.0,0.0,0.000350592330942345,0.0,0.0,1e-08,0.0,0.0,0.000333843330942345,0.0179512148826668
36,1.6749e-05,1.6749e-05,1e-08,0.0,1.00000000000000e-8,0.0,0.0,0.000350592330942345,1e-08,0.0,9.54404803954313e-9,0.0,0.0,0.000350592330942345,0
37,1.6749e-05,1.6749e-05,1e-08,0.0,1.00000000000000e-8,0.0,0.0,0.000350592330942345,0.0,1.67490000000000e-5,0.0,0.0,2.09321351091018e-7,0.0,0
38,1.6749e-05,1.6749e-05,1e-08,0.0,1.00000000000000e-8,0.0,0.0,0.000350592330942345,0.0,1e-06,2.22612439483361e-7,0.0,3.50592330942345e-6,0.0,0
39,1.6749e-05,1.6749e-05,1e-08,0.0,1.00000000000000e-8,0.0,0.0,0.000350592330942345,0.0,1.9999999999999998e-05,0.0,3.25100000000000e-6,1.75296165471173e-7,0.0,0
40,1.6749e-05,1.6749e-05,0.0,1e-06,0.0,0.0,2.18043074053143e-7,0.0,0.0,0.0,0.0,0.0,2.09321351091018e-7,0.0,-0.357806040413833
41,1.6749e-05,1.6749e-05,0.0,1e-06,0.0,0.0,2.20475063875855e-7,0.0,0.0,0.0,1e-06,0.0,2.64736314025742e-7,0.0,-0.452530292689137
42,1.6749e-05,1.6749e-05,0.0,1e-06,0.0,0.0,2.17532405832791e-7,0.0,0.0,0.0,0.0,1e-06,1.97527934499040e-7,0.0,-0.337646817899109
43,1.6749e-05,1.6749e-05,0.0,1e-06,0.0,0.0,2.08902124303401e-7,0.0,0.0,0.0,1e-08,0.0,0.0,0.000333843330942345,0.0179512148826668
44,1.6749e-05,1.6749e-05,0.0,1e-06,0.0,0.0,2.09321351091018e-7,0.0,1e-08,0.0,9.54404803954313e-9,0.0,0.0,0.000350592330942345,0
45,1.6749e-05,1.6749e-05,0.0,1e-06,0.0,0.0,2.09321351091018e-7,0.0,0.0,1.67490000000000e-5,0.0,0.0,2.09321351091018e-7,0.0,0
46,1.6749e-05,1.6749e-05,0.0,1e-06,0.0,0.0,2.09321351091018e-7,0.0,0.0,1e-06,2.22612439483361e-7,0.0,3.50592330942345e-6,0.0,0
47,1.6749e-05,1.6749e-05,0.0,1e-06,0.0,0.0,2.09321351091018e-7,0.0,0.0,1.9999999999999998e-05,0.0,3.25100000000000e-6,1.75296165471173e-7,0.0,0
48,1.6749e-05,1.6749e-05,0.0,1e-06,2.32503084375627e-7,0.0,3.50592330942345e-6,0.0,0.0,0.0,0.0,0.0,2.09321351091018e-7,0.0,-0.357806040413833
49,1.6749e-05,1.6749e-05,0.0,1e-06,2.35270382553280e-7,0.0,3.50592330942345e-6,0.0,0.0,0.0,1e-06,0.0,2.64736314025742e-7,0.0,-0.452530292689137
50,1.6749e-05,1.6749e-05,0.0,1e-06,2.31922528228438e-7,0.0,3.50592330942345e-6,0.0,0.0,0.0,0.0,1e-06,1.97527934499040e-7,0.0,-0.337646817899109
51,1.6749e-05,1.6749e-05,0.0,1e-06,2.22138344238968e-7,0.0,3.50592330942345e-6,0.0,0.0,0.0,1e-08,0.0,0.0,0.000333843330942345,0.0179512148826668
52,1.6749e-05,1.6749e-05,0.0,1e-06,2.22612439483361e-7,0.0,3.50592330942345e-6,0.0,1e-08,0.0,9.54404803954313e-9,0.0,0.0,0.000350592330942345,0
53,1.6749e-05,1.6749e-05,0.0,1e-06,2.22612439483361e-7,0.0,3.50592330942345e-6,0.0,0.0,1.67490000000000e-5,0.0,0.0,2.09321351091018e-7,0.0,0
54,1.6749e-05,1.6749e-05,0.0,1e-06,2.22612439483361e-7,0.0,3.50592330942345e-6,0.0,0.0,1e-06,2.22612439483361e-7,0.0,3.50592330942345e-6,0.0,0
55,1.6749e-05,1.6749e-05,0.0,1e-06,2.22612439483361e-7,0.0,3.50592330942345e-6,0.0,0.0,1.9999999999999998e-05,0.0,3.25100000000000e-6,1.75296165471173e-7,0.0,0
56,1.6749e-05,1.6749e-05,0.0,1.9999999999999998e-05,0.0,3.92096000000000e-6,1.75296165471173e-7,0.0,0.0,0.0,0.0,0.0,2.09321351091018e-7,0.0,-0.357806040413833
57,1.6749e-05,1.6749e-05,0.0,1.9999999999999998e-05,0.0,4.09832274094469e-6,1.75296165471173e-7,0.0,0.0,0.0,1e-06,0.0,2.64736314025742e-7,0.0,-0.452530292689137
58,1.6749e-05,1.6749e-05,0.0,1.9999999999999998e-05,0.0,3.88321364809285e-6,1.75296165471173e-7,0.0,0.0,0.0,0.0,1e-06,1.97527934499040e-7,0.0,-0.337646817899109
59,1.6749e-05,1.6749e-05,0.0,1.9999999999999998e-05,0.0,3.21738794608140e-6,1.75296165471173e-7,0.0,0.0,0.0,1e-08,0.0,0.0,0.000333843330942345,0.0179512148826668
60,1.6749e-05,1.6749e-05,0.0,1.9999999999999998e-05,0.0,3.25100000000000e-6,1.75296165471173e-7,0.0,1e-08,0.0,9.54404803954313e-9,0.0,0.0,0.000350592330942345,0
61,1.6749e-05,1.6749e-05,0.0,1.9999999999999998e-05,0.0,3.25100000000000e-6,1.75296165471173e-7,0.0,0.0,1.67490000000000e-5,0.0,0.0,2.09321351091018e-7,0.0,0
62,1.6749e-05,1.6749e-05,0.0,1.9999999999999998e-05,0.0,3.25100000000000e-6,1.75296165471173e-7,0.0,0.0,1e-06,2.22612439483361e-7,0.0,3.50592330942345e-6,0.0,0
63,1.6749e-05,1.6749e-05,0.0,1.9999999999999998e-05,0.0,3.25100000000000e-6,1.75296165471173e-7,0.0,0.0,1.9999999999999998e-05,0.0,3.25100000000000e-6,1.75296165471173e-7,0.0,0
